hostname,pl_name,pl_orbsmax,sy_pnum
"Kepler-402","Kepler-402 c",0.0680000000,4
"Kepler-122","Kepler-122 c",0.1080000000,5
"GJ 163","GJ 163 b",0.0607000000,3
"TRAPPIST-1","TRAPPIST-1 e",0.0292500000,7
"TOI-469","HIP 29442 c",0.0451800000,3
"Kepler-603","Kepler-603 b",0.1605200000,3
"Kepler-172","Kepler-172 b",0.0400000000,4
"Kepler-1311","Kepler-1311 c",0.0375300000,3
"K2-233","K2-233 b",0.0329300000,3
"Kepler-171","Kepler-171 d",0.2230000000,3
"TOI-561","TOI-561 d",0.1587000000,4
"Kepler-298","Kepler-298 d",0.3050000000,3
"Kepler-1669","Kepler-1669 c",0.0228000000,3
"Kepler-191","Kepler-191 c",0.1280000000,3
"HD 224018","HD 224018 c",0.2170000000,3
"TOI-178","TOI-178 c",0.0370000000,6
"TOI-1136","TOI-1136 e",0.1400000000,6
"Kepler-169","Kepler-169 f",0.3590000000,5
"HD 134606","HD 134606 d",1.9410000000,5
"Kepler-130","Kepler-130 b",0.0790000000,3
"Kepler-223","Kepler-223 d",0.1195600000,4
"Kepler-224","Kepler-224 d",0.0890000000,4
"HD 184010","HD 184010 c",1.3340000000,3
"Kepler-403","Kepler-403 b",0.0760000000,3
"TOI-125","TOI-125 c",0.0814000000,3
"Kepler-272","Kepler-272 d",0.0910000000,3
"Kepler-229","Kepler-229 b",0.0620000000,3
"Kepler-56","Kepler-56 c",0.1652000000,3
"HD 40307","HD 40307 g",0.6000000000,5
"Kepler-416","Kepler-416 d",0.0407000000,3
"K2-233","K2-233 d",0.1516000000,3
"HD 110067","HD 110067 f",0.2163000000,6
"Kepler-301","Kepler-301 b",0.0360000000,3
"HR 8799","HR 8799 d",24.0000000000,4
"Kepler-282","Kepler-282 e",0.2333200000,4
"HD 10180","HD 10180 d",0.1285900000,6
"tau Cet","tau Cet f",1.3340000000,3
"TOI-178","TOI-178 d",0.0592000000,6
"GJ 1061","GJ 1061 c",0.0342000000,3
"HD 191939","HD 191939 d",0.2132000000,6
"Kepler-26","Kepler-26 e",0.2200000000,4
"Kepler-158","Kepler-158 c",0.1580000000,3
"TOI-1749","TOI-1749 c",0.0443000000,3
"HD 160691","HD 160691 d",0.0952000000,4
"Kepler-454","Kepler-454 c",1.2870000000,3
"LP 791-18","LP 791-18 b",0.0097800000,3
"K2-266","K2-266 b",0.0130600000,4
"Kepler-85","Kepler-85 e",0.1630000000,4
"GJ 163","GJ 163 c",0.1254000000,3
"K2-148","K2-148 c",0.0616000000,3
"GJ 3138","GJ 3138 b",0.0197000000,3
"Kepler-27","Kepler-27 b",0.1180000000,3
"Kepler-132","Kepler-132 d",0.1360000000,4
"Kepler-102","Kepler-102 e",0.1162000000,5
"Kepler-334","Kepler-334 b",0.0610000000,3
"Kepler-295","Kepler-295 d",0.1920000000,3
"Kepler-249","Kepler-249 d",0.0970000000,3
"HR 8799","HR 8799 b",68.0000000000,4
"Kepler-296","Kepler-296 b",0.0790000000,5
"Kepler-81","Kepler-81 d",0.1280000000,3
"Kepler-83","Kepler-83 b",0.0729500000,3
"HD 191939","HD 191939 c",0.1752000000,6
"Kepler-58","Kepler-58 b",0.0929100000,4
"GJ 887","GJ 887 b",0.0683000000,4
"KOI-142","KOI-142 b",0.0958600000,3
"Barnard's star","Barnard c",0.0274000000,4
"Kepler-341","Kepler-341 c",0.0800000000,4
"TOI-5624","TOI-5624 e",0.1439000000,5
"GJ 3998","GJ 3998 b",0.0300000000,3
"Kepler-276","Kepler-276 d",0.2466600000,3
"Kepler-122","Kepler-122 f",0.2857500000,5
"K2-19","K2-19 d",0.0347800000,3
"HR 8799","HR 8799 e",16.4000000000,4
"Kepler-770","Kepler-770 b",0.1694000000,3
"XO-2 S","XO-2 S d",5.4600000000,4
"Kepler-24","Kepler-24 e",0.1380000000,4
"Kepler-338","Kepler-338 b",0.1170000000,4
"Kepler-106","Kepler-106 e",0.2400600000,4
"Kepler-27","Kepler-27 c",0.1910000000,3
"TOI-2141","TOI-2141 b",0.1322000000,3
"Kepler-350","Kepler-350 b",0.1040000000,3
"K2-148","K2-148 b",0.0454000000,3
